annotation_lbl,category,num_distinct_lbls
attack_nn_102_108_134_140,4,1
attack_nn_102_108_161_167,3,2
attack_nn_102_108_176_182,3,2
attack_nn_102_108_212_218,3,2
attack_nn_103_109_161_167,4,2
attack_nn_103_109_176_182,2,1
attack_nn_103_109_66_72,4,1
attack_nn_103_109_73_79,4,1
attack_nn_103_110_123_130,3,3
attack_nn_103_110_14_20,4,2
attack_nn_103_110_150_156,2,1
attack_nn_103_110_212_218,3,2
attack_nn_103_110_25_31,4,1
attack_nn_103_110_31_37,4,1
attack_nn_103_110_44_50,2,1
attack_nn_103_110_99_106,1,1
attack_nn_104_110_123_130,4,2
attack_nn_104_110_150_156,3,3
attack_nn_104_110_161_167,4,3
attack_nn_104_110_176_182,3,4
attack_nn_104_110_246_252,2,1
attack_nn_104_110_38_44,0,1
attack_nn_104_110_563_569,4,2
attack_nn_105_111_11_17,2,1
attack_nn_105_111_123_130,3,2
attack_nn_105_111_58_64,3,3
attack_nn_105_111_61_67,1,1
attack_nn_107_113_10_16,3,1
attack_nn_107_113_113_119,3,1
attack_nn_107_113_123_130,3,2
attack_nn_107_113_131_137,2,1
attack_nn_107_113_176_182,3,2
attack_nn_107_113_22_28,3,1
attack_nn_107_113_4_10,3,1
attack_nn_107_113_56_62,2,1
attack_nn_107_113_58_64,3,3
attack_nn_107_113_60_66,4,1
attack_nn_107_114_141_147,4,2
attack_nn_107_114_176_182,3,3
attack_nn_107_114_38_44,4,2
attack_nn_107_114_81_88,3,4
attack_nn_108_114_161_167,3,2
attack_nn_108_114_176_182,4,1
attack_nn_108_114_389_395,2,1
attack_nn_108_114_99_106,2,1
attack_nn_108_115_123_130,3,2
attack_nn_108_115_131_137,3,2
attack_nn_108_115_4_10,2,1
attack_nn_108_115_4_11,2,1
attack_nn_109_115_103_110,3,1
attack_nn_109_115_10_17,3,1
attack_nn_109_115_113_119,2,1
attack_nn_109_115_123_130,3,2
attack_nn_109_115_144_151,2,1
attack_nn_109_115_176_182,4,4
attack_nn_109_115_184_191,3,3
attack_nn_109_115_31_37,4,1
attack_nn_109_115_36_42,2,1
attack_nn_109_115_58_64,4,2
attack_nn_109_115_85_92,2,1
attack_nn_10_16_103_110,2,1
attack_nn_10_16_123_130,3,1
attack_nn_10_16_124_131,4,1
attack_nn_10_16_13_19,3,2
attack_nn_10_16_14_20,2,2
attack_nn_10_16_158_164,4,1
attack_nn_10_16_161_167,4,2
attack_nn_10_16_176_182,3,5
attack_nn_10_16_31_37,3,2
attack_nn_10_16_44_50,3,1
attack_nn_10_16_97_104,2,1
attack_nn_10_17_103_110,2,1
attack_nn_10_17_10_16,0,1
attack_nn_10_17_176_182,3,2
attack_nn_10_17_227_233,0,1
