annotation_lbl,category,sentence
Circled_mag_1840_554815.txt-207-38_circle_fic_1839_8627.txt-1994-11,Closely Related,"lie soon Saw within ken a glorious Angel stand, The same whom John saw also in the sun: His back was turned, but not his brightness hid; Of beaming sunny rays a golden tiar Circled his head, nor less his locks behind Illustrious on his shoulders fledge with wings Lay waving round; on some great charge employed He seemed, or fixed in cogitation deep. "" || See how they bear him up upon their wings, And circle him with glory!"
Circled_mag_1840_554815.txt-207-38_circled_fic_1989_780083.txt-2098-19,Closely Related,"lie soon Saw within ken a glorious Angel stand, The same whom John saw also in the sun: His back was turned, but not his brightness hid; Of beaming sunny rays a golden tiar Circled his head, nor less his locks behind Illustrious on his shoulders fledge with wings Lay waving round; on some great charge employed He seemed, or fixed in cogitation deep. "" || As soon as he got there, a host of white flowers flew up from under his feet and circled above him anxiously like startled pigeons."
Circled_mag_1840_554815.txt-207-38_circling_fic_1843_7155.txt-169-45,Closely Related,"lie soon Saw within ken a glorious Angel stand, The same whom John saw also in the sun: His back was turned, but not his brightness hid; Of beaming sunny rays a golden tiar Circled his head, nor less his locks behind Illustrious on his shoulders fledge with wings Lay waving round; on some great charge employed He seemed, or fixed in cogitation deep. "" || not traversed half the space between her and their nearest barque, before, with an explosion that might be heard leagues away into the pathless forest, startling the wild beast and the wilder Indian in his lair, and with a wide and circling glare that for an instant made the broad daylight pallid, the caravel blew up!"
Circled_mag_1840_554815.txt-207-38_circling_fic_1994_54062.txt-687-3,Closely Related,"lie soon Saw within ken a glorious Angel stand, The same whom John saw also in the sun: His back was turned, but not his brightness hid; Of beaming sunny rays a golden tiar Circled his head, nor less his locks behind Illustrious on his shoulders fledge with wings Lay waving round; on some great charge employed He seemed, or fixed in cogitation deep. "" || More Gothas were circling above and below, propellers churning through the murk, their familiar Wong-wong filling the fog."
Fiction_fic_1843_7074.txt-24-28_fiction_mag_1834_564699.txt-298-31,Identical,"Let the book pass for what it is worth: if taken for History, it will be thought I had a somewhat remarkable experience, if for Fiction, that I have tolerable Invention; and then my scull will be in the market -- for the booksellers in my lifetime, -- and the Phrenologists afterwards. || Thus, if we have no royal road to knowledge, we have, what is much more agreeable, a "" primrose path, "" strewed with the flowers of fiction, which leads not only to heaven, but to the summit of every"
Fiction_fic_1843_7074.txt-24-28_fiction_nf_1993_774078.txt-1934-42,Identical,"Let the book pass for what it is worth: if taken for History, it will be thought I had a somewhat remarkable experience, if for Fiction, that I have tolerable Invention; and then my scull will be in the market -- for the booksellers in my lifetime, -- and the Phrenologists afterwards. || Against the mobile background of the never completely formalised relations between the law of obscenity and the social policing of pornography, and of the migration of specialist pornography's themes and figures into the circuits of a more generally disseminated educative fiction in the guise of ethical techniques for (sexual) self-improvement, our plan is to review the English Obscene Publications Act of 1959 and the 1960 case in which the new statute was to have received its definitive construction, Regina v. Penguin Books Ltd., popularly known as the trial of Lady Chatterley's Lover."
Fiction_mag_1851_555692.txt-245-8_fiction_nf_1997_773614.txt-641-8,Identical,"// A book entitled "" Truth Stranger than Fiction, "" which lies at our elhoxv among other books written by ladies, has in some measure influenced the direction of our remarks upon female privilege and authorship. || Looking back, it seemed useful training for fiction, requiring him to present dramatic material in dramatic fashion."
Fiction_mag_1851_555692.txt-245-8_fictions_nf_1845_771333.txt-565-18,Closely Related,"// A book entitled "" Truth Stranger than Fiction, "" which lies at our elhoxv among other books written by ladies, has in some measure influenced the direction of our remarks upon female privilege and authorship. || If set forth only as a novel and pleasing fancy, it may be classed with other ingenious fictions, that are published without a thought of deception."
Lass_mag_1835_565217.txt-61-8_lass_fic_1814_8564.txt-739-3,Undecidable,"Perfection whispered, passing by, Behold the Lass of Ballochmyle. ' || What a comely lass thou hast gotten for me here!"
Lass_mag_1835_565217.txt-61-8_lass_fic_1999_30509.txt-368-9,Undecidable,"Perfection whispered, passing by, Behold the Lass of Ballochmyle. ' || "" Didn't you know how to swim, lass? """
Lass_mag_1961_268246.txt-9-15_lass_fic_1981_10675.txt-2101-6,Undecidable,"Just now it is nightfall, and a pretty, innocently mischievous girl (Barbara Lass) has arrived at the city's School of Geodetics, ready to enroll. || If you want to leave the lass here, though, I'll look after her myself, and... "" "" You misunderstand me, "" Fiona said in a harsh voice."
