annotation_lbl,category,sentence
BALLS_mag_1992_61837.txt-47-12_balls_mag_1854_566434.txt-121-2,Distantly Related,"away with a woman line judge, resulting in the headline NEW BALLS, PLEASE. || of the balls, shaped out of rock, nearly two feet in diameter, such as used to be employed when it was fired, lie near at hand."
BALLS_mag_1992_61837.txt-47-12_balls_news_1977_732915.txt-20-33,Unrelated,"away with a woman line judge, resulting in the headline NEW BALLS, PLEASE. || Later, Carter will go to the White House to review the inaugural parade, then enter the White House as its occupant for the first time before heading for the seven inaugural balls"
BALLS_mag_1992_61837.txt-47-12_balls_nf_1855_771880.txt-246-8,Distantly Related,"away with a woman line judge, resulting in the headline NEW BALLS, PLEASE. || Clouds are formed of small globules or little balls of water; and water, I should think, whatever the size of the little"
Ball_fic_1845_7183.txt-96-4_ball_mag_1985_123519.txt-271-14,Unrelated,"PAGE The Land-Fever 1 Ball at Thram's Huddle 15 A Forest Fete 27 Love vs. || Working out with manager Leo Durocher in spring training, he fired a double-play ball to Leo, playing second, and broke his right thumb."
Ball_fic_1845_7183.txt-96-4_balls_fic_1842_7206.txt-3298-50,Unrelated,"PAGE The Land-Fever 1 Ball at Thram's Huddle 15 A Forest Fete 27 Love vs. || And yet the Round-Rimmers condescend to join the common world in certain of their observances; they have committees, among themselves, where small men swell into great, by dint of volubility and intrigue; they make presentations after their fashion to distinguished men; and give complimentary balls, where they get a fever to a boiling pitch."
Ball_fic_1859_9220.txt-2326-10_ball_fic_1842_555.txt-2985-38,Undecidable,"worth seeing, I am told, -- the Century Ball especially. || There, once in a while, was seen the thin, care-worn, melancholy visage of an old tory, with a Wig that, in times long past, had perhaps figured at a Province House ball."
Ball_fic_1859_9220.txt-2326-10_ball_fic_2008_36315.txt-261-17,Undecidable,"worth seeing, I am told, -- the Century Ball especially. || Wedging myself into the pack, I tried to make a grab at the man with the ball."
Ball_fic_1859_9220.txt-2340-13_balls_fic_1842_7206.txt-3298-50,Unrelated,"No, mother; if I do not mistake, the Bachelor's Ball comes up at another season; but however that may be, I am quite sure that any one of the score, to which we have || And yet the Round-Rimmers condescend to join the common world in certain of their observances; they have committees, among themselves, where small men swell into great, by dint of volubility and intrigue; they make presentations after their fashion to distinguished men; and give complimentary balls, where they get a fever to a boiling pitch."
Ball_fic_1998_14643.txt-1259-34_ball_mag_1832_564161.txt-516-22,Unrelated,"oops, sorry -- operators of the local sewage treatment plant, of Sparks, Nevada, were forced to warn locals not to pour grease down the drain, after a Monster Grease Ball disrupted operations. || Or the ladies of either town may dine at home, figure and make conquests, at a tea-party, or a ball, in the other, on the evening of the same day, and return to breakfast, in their own dwellings, the next morning."
Ball_fic_1998_14643.txt-1259-34_ball_nf_1856_769051.txt-1887-14,Distantly Related,"oops, sorry -- operators of the local sewage treatment plant, of Sparks, Nevada, were forced to warn locals not to pour grease down the drain, after a Monster Grease Ball disrupted operations. || He laughed at her, and posted off in high glee, throwing his ball before him and running after it at full speed, and he went as fast as his ball."
Ball_mag_2000_401152.txt-24-23_ball_fic_1854_9218.txt-3589-17,Undecidable,"But it's making a big comeback in collegiate training rooms, "" says Dave Pearson, Ph.D., an exercise physiologist at Ball State University. "" || He never came near me all day, and toward night I began to dress for the ball."
Ball_mag_2000_401152.txt-24-23_balls_mag_1854_566434.txt-121-2,Undecidable,"But it's making a big comeback in collegiate training rooms, "" says Dave Pearson, Ph.D., an exercise physiologist at Ball State University. "" || of the balls, shaped out of rock, nearly two feet in diameter, such as used to be employed when it was fired, lie near at hand."
Ball_mag_2002_384996.txt-52-8_ball_mag_1859_506412.txt-59-8,Unrelated,"// * MINIATURE BALL: It is like Ball but smaller, between 2 and 3 1/2 inches wide. || morning and evening, dined every day in ball, and never went to a single evening party."
Ball_news_1989_670792.txt-27-3_balls_fic_1852_2364.txt-2112-3,Closely Related,"Follow the Bouncing Ball // Ms. Birnbaum, a lawyer and the club ' s operations partner, said, "" We felt the time was right for the audience to be part of the entertainment. "" || Hatchie extracted the balls from this one, and loaded the pair with one ball each, leaving the unmatched one blank."
Ball_nf_1844_762654.txt-424-8_ball_fic_1842_555.txt-2985-38,Undecidable,"of Oude, and are discussed in V. Ball, Jungle Life in India (De la Rue, 1880), pp. || There, once in a while, was seen the thin, care-worn, melancholy visage of an old tory, with a Wig that, in times long past, had perhaps figured at a Province House ball."
Ball_nf_1844_762654.txt-424-8_ball_mag_2004_413914.txt-69-11,Undecidable,"of Oude, and are discussed in V. Ball, Jungle Life in India (De la Rue, 1880), pp. || That happens when you don't get on top of the ball or throw it without the proper arm action, "" Willis says."
Balls_fic_1974_10580.txt-7369-0_ball_mag_1970_479117.txt-88-13,Identical,"Balls and cues were found and a pool tournament was organized, in which the Major, Horne, Bailey, John, and Nicky were participants. || They were building hi-fi speakers at Braun's no bigger than a tennis ball, but with an inimitable purity of tone."
Balls_fic_1974_10580.txt-7369-0_balls_fic_1842_7206.txt-3298-50,Closely Related,"Balls and cues were found and a pool tournament was organized, in which the Major, Horne, Bailey, John, and Nicky were participants. || And yet the Round-Rimmers condescend to join the common world in certain of their observances; they have committees, among themselves, where small men swell into great, by dint of volubility and intrigue; they make presentations after their fashion to distinguished men; and give complimentary balls, where they get a fever to a boiling pitch."
Bits_fic_1856_1281.txt-3685-0_bit_fic_2007_52343.txt-275-5,Closely Related,"Bits of artificial flowers are strewn about the carpet, a shawl is seen thrown over one chair, a mantle over another; the light is half shut off-everything bears evidence of the gaieties of luxurious life, the sumptuous revel and the debauch. || you offer me for the bit I can tell? """
Bits_fic_1856_1281.txt-3685-0_bit_news_1987_668817.txt-35-9,Distantly Related,"Bits of artificial flowers are strewn about the carpet, a shawl is seen thrown over one chair, a mantle over another; the light is half shut off-everything bears evidence of the gaieties of luxurious life, the sumptuous revel and the debauch. || If we hike our dresses up just a little bit, it means it ' s a dance from an area of dry land, "" says Endo. """
