annotation_lbl,num_distinct_lbls,num_total_lbls,range
BALLS_mag_1992_61837.txt-47-12_ball_fic_1846_7527.txt-54-30,1,1,0
BALLS_mag_1992_61837.txt-47-12_ball_mag_1980_490829.txt-159-19,1,1,0
BALLS_mag_1992_61837.txt-47-12_balls_fic_1965_13271.txt-12-9,1,1,0
BALLS_mag_1992_61837.txt-47-12_balls_fic_2007_52171.txt-163-54,1,1,0
BALLS_mag_1992_61837.txt-47-12_balls_mag_1854_566434.txt-121-2,1,1,0
BALLS_mag_1992_61837.txt-47-12_balls_news_1977_732915.txt-20-33,1,1,0
BALLS_mag_1992_61837.txt-47-12_balls_nf_1854_750818.txt-967-13,1,1,0
BALLS_mag_1992_61837.txt-47-12_balls_nf_1855_771880.txt-246-8,1,1,0
Ball_fic_1845_7183.txt-96-4_ball_fic_1835_7064.txt-1770-4,1,1,0
Ball_fic_1845_7183.txt-96-4_ball_fic_1840_7292.txt-1417-20,1,1,0
Ball_fic_1845_7183.txt-96-4_ball_fic_1854_9218.txt-3589-17,1,1,0
Ball_fic_1845_7183.txt-96-4_ball_fic_1860_9165.txt-196-14,1,1,0
Ball_fic_1845_7183.txt-96-4_ball_fic_1964_780000.txt-1166-5,1,1,0
Ball_fic_1845_7183.txt-96-4_ball_mag_1985_123519.txt-271-14,1,1,0
Ball_fic_1845_7183.txt-96-4_ball_mag_2004_413914.txt-69-11,1,1,0
Ball_fic_1845_7183.txt-96-4_ball_news_2006_607707.txt-38-20,1,1,0
Ball_fic_1845_7183.txt-96-4_balls_fic_1834_7030.txt-1386-21,1,1,0
Ball_fic_1845_7183.txt-96-4_balls_fic_1842_7206.txt-3298-50,1,1,0
Ball_fic_1845_7183.txt-96-4_balls_fic_1994_41224.txt-397-7,1,1,0
Ball_fic_1845_7183.txt-96-4_balls_fic_2006_27868.txt-198-8,1,1,0
Ball_fic_1845_7183.txt-96-4_balls_nf_1829_747550.txt-23-5,1,1,0
Ball_fic_1845_7183.txt-96-4_balls_nf_1979_774342.txt-1216-30,1,1,0
Ball_fic_1859_9220.txt-2326-10_ball_fic_2008_36315.txt-261-17,1,1,0
Ball_fic_1859_9220.txt-2340-13_ball_fic_1843_7208.txt-4384-11,1,1,0
Ball_fic_1859_9220.txt-2340-13_ball_mag_1989_492445.txt-76-35,1,1,0
Ball_fic_1859_9220.txt-2340-13_ball_nf_1838_747482.txt-1194-43,1,1,0
Ball_fic_1998_14643.txt-1259-34_ball_fic_1854_9218.txt-3589-17,1,1,0
Ball_fic_1998_14643.txt-1259-34_ball_mag_1832_564161.txt-516-22,1,1,0
Ball_fic_1998_14643.txt-1259-34_ball_nf_1838_747482.txt-1194-43,1,1,0
Ball_fic_1998_14643.txt-1259-34_ball_nf_1856_769051.txt-1887-14,1,1,0
Ball_fic_1998_14643.txt-1259-34_balls_fic_2006_27868.txt-198-8,1,1,0
Ball_mag_2002_384996.txt-52-8_ball_fic_2008_36315.txt-261-17,1,1,0
Ball_mag_2002_384996.txt-52-8_ball_mag_1980_490829.txt-159-19,1,1,0
Ball_mag_2002_384996.txt-52-8_ball_mag_1999_404416.txt-81-13,1,1,0
Ball_mag_2002_384996.txt-52-8_ball_mag_2003_85197.txt-19-12,1,1,0
Ball_mag_2002_384996.txt-52-8_ball_nf_1838_747482.txt-1194-43,1,1,0
Ball_mag_2002_384996.txt-52-8_balls_fic_1980_780046.txt-4314-34,1,1,0
Ball_mag_2002_384996.txt-52-8_balls_fic_2006_27868.txt-198-8,1,1,0
Ball_news_1989_670792.txt-27-3_BALLS_mag_1992_61837.txt-47-12,1,1,0
Ball_news_1989_670792.txt-27-3_ball_fic_1854_9218.txt-3589-17,1,1,0
Ball_news_1989_670792.txt-27-3_ball_fic_1969_10520.txt-1352-9,1,1,0
Ball_news_1989_670792.txt-27-3_balls_fic_1852_2364.txt-2112-3,1,1,0
Ball_nf_1844_762654.txt-424-8_ball_fic_1842_555.txt-2985-38,1,1,0
Bit_news_1983_669272.txt-15-1_bit_fic_1848_7265.txt-153-9,1,1,0
Bit_news_1983_669272.txt-15-1_bit_fic_1964_10453.txt-834-4,1,1,0
Bit_news_1983_669272.txt-15-1_bit_fic_2003_48664.txt-150-2,1,1,0
Bits_fic_1856_1281.txt-3685-0_bit_fic_1844_7081.txt-1594-6,1,1,0
Bits_fic_1856_1281.txt-3685-0_bit_mag_1832_554167.txt-450-5,1,1,0
Bits_fic_1856_1281.txt-3685-0_bit_nf_1837_757476.txt-1114-18,1,1,0
Bits_fic_1856_1281.txt-3685-0_bits_nf_1837_757476.txt-537-19,1,1,0
Bits_fic_2009_36638.txt-804-0_bit_fic_1840_7332.txt-1696-11,1,1,0
Bits_fic_2009_36638.txt-804-0_bit_fic_1846_556.txt-3541-8,1,1,0
Bits_fic_2009_36638.txt-804-0_bit_fic_1859_9037.txt-439-7,1,1,0
Bits_fic_2009_36638.txt-804-0_bit_fic_1960_23770.txt-175-8,1,1,0
Bits_fic_2009_36638.txt-804-0_bit_mag_1846_523866.txt-135-34,1,1,0
Bits_fic_2009_36638.txt-804-0_bit_news_1987_668817.txt-35-9,1,1,0
Bits_fic_2009_36638.txt-804-0_bits_fic_1833_7321.txt-3755-25,1,1,0
Bits_fic_2009_36638.txt-804-0_bits_fic_1853_9158.txt-97-26,1,1,0
Bits_fic_2009_36638.txt-804-0_bits_fic_1982_10690.txt-4985-19,1,1,0
