annotation_lbl,category,num_distinct_lbls
attack_nn_102_108_161_167,3,2
attack_nn_102_108_176_182,3,2
attack_nn_102_108_212_218,3,2
attack_nn_103_109_161_167,4,2
attack_nn_103_110_123_130,3,3
attack_nn_103_110_14_20,4,2
attack_nn_103_110_212_218,3,2
attack_nn_104_110_123_130,4,2
attack_nn_104_110_150_156,3,3
attack_nn_104_110_161_167,4,3
attack_nn_104_110_176_182,3,4
attack_nn_104_110_563_569,4,2
attack_nn_105_111_123_130,3,2
attack_nn_105_111_58_64,3,3
attack_nn_107_113_123_130,3,2
attack_nn_107_113_176_182,3,2
attack_nn_107_113_58_64,3,3
attack_nn_107_114_141_147,4,2
attack_nn_107_114_176_182,3,3
attack_nn_107_114_38_44,4,2
attack_nn_107_114_81_88,3,4
attack_nn_108_114_161_167,3,2
attack_nn_108_115_123_130,3,2
attack_nn_108_115_131_137,3,2
attack_nn_109_115_123_130,3,2
attack_nn_109_115_176_182,4,4
attack_nn_109_115_184_191,3,3
attack_nn_109_115_58_64,4,2
attack_nn_10_16_13_19,3,2
attack_nn_10_16_14_20,2,2
attack_nn_10_16_161_167,4,2
attack_nn_10_16_176_182,3,5
attack_nn_10_16_31_37,3,2
attack_nn_10_17_176_182,3,2
attack_nn_113_119_150_156,3,3
attack_nn_113_119_176_182,3,3
attack_nn_118_124_13_19,4,2
attack_nn_118_125_176_182,3,2
attack_nn_11_17_123_130,3,2
attack_nn_11_17_131_137,3,2
attack_nn_11_17_246_252,3,2
attack_nn_121_128_123_130,3,3
attack_nn_121_128_161_167,4,4
attack_nn_122_128_123_130,3,2
attack_nn_122_128_176_182,3,2
attack_nn_122_128_184_191,3,4
attack_nn_122_128_54_60,4,2
attack_nn_123_130_104_110,3,3
attack_nn_123_130_105_111,4,2
attack_nn_123_130_13_19,3,5
attack_nn_124_131_131_137,3,3
attack_nn_124_131_189_195,3,2
attack_nn_126_132_35_41,4,2
attack_nn_130_136_123_130,3,3
attack_nn_130_136_176_182,3,2
attack_nn_130_136_184_191,3,2
attack_nn_130_136_58_64,3,3
attack_nn_131_137_176_182,2,2
attack_nn_131_137_54_60,2,3
attack_nn_134_140_10_17,3,3
attack_nn_134_140_14_20,4,2
attack_nn_134_140_161_167,4,3
attack_nn_134_140_176_182,3,3
attack_nn_134_140_66_72,3,2
attack_nn_135_141_176_182,3,2
attack_nn_135_141_38_44,4,2
attack_nn_137_143_123_130,3,2
attack_nn_137_143_55_62,3,2
attack_nn_13_19_13_19,3,3
attack_nn_13_19_161_167,3,2
attack_nn_13_19_176_182,3,3
attack_nn_13_19_38_44,3,3
attack_nn_13_20_176_182,3,2
attack_nn_141_147_13_19,4,2
attack_nn_141_148_123_130,3,4
attack_nn_141_148_158_164,4,2
attack_nn_141_148_38_44,3,2
attack_nn_141_148_97_104,3,2
attack_nn_144_150_176_182,3,3
attack_nn_144_151_176_182,3,2
attack_nn_144_151_184_191,3,2
attack_nn_146_152_4_10,3,5
attack_nn_147_153_176_182,3,2
attack_nn_147_153_38_44,3,3
attack_nn_148_154_58_64,3,3
attack_nn_14_20_102_108,4,2
attack_nn_14_20_13_19,3,3
attack_nn_14_20_146_152,4,2
attack_nn_14_20_176_182,3,2
attack_nn_14_21_123_130,3,2
attack_nn_150_156_58_64,3,3
attack_nn_154_160_123_130,3,3
attack_nn_154_160_13_19,4,3
attack_nn_154_160_31_37,3,2
attack_nn_157_164_103_109,2,2
attack_nn_157_164_35_41,4,2
attack_nn_158_164_13_19,4,2
attack_nn_158_164_176_182,3,2
attack_nn_158_164_4_10,3,3
attack_nn_158_164_69_75,3,2
attack_nn_15_21_123_130,4,2
attack_nn_161_167_176_182,3,3
attack_nn_166_172_13_19,4,4
attack_nn_166_172_176_182,3,2
attack_nn_168_174_176_182,4,2
attack_nn_171_177_176_182,3,3
attack_nn_171_177_58_64,3,2
attack_nn_171_177_81_88,3,3
attack_nn_172_178_176_182,3,2
attack_nn_174_181_176_182,3,3
attack_nn_176_182_103_109,3,2
attack_nn_176_182_107_113,3,2
attack_nn_176_182_123_130,3,4
attack_nn_176_182_131_137,4,2
attack_nn_176_182_135_141,3,2
attack_nn_176_182_13_19,2,2
attack_nn_176_182_150_156,3,2
attack_nn_176_182_161_167,3,2
attack_nn_176_182_168_174,3,2
attack_nn_176_182_22_28,2,2
attack_nn_176_182_23_29,3,3
attack_nn_176_182_389_395,4,2
attack_nn_176_182_38_44,3,4
attack_nn_176_182_44_50,3,4
attack_nn_176_182_66_72,3,2
attack_nn_176_182_68_74,2,2
attack_nn_179_185_54_60,3,2
attack_nn_17_23_563_569,4,2
attack_nn_183_190_176_182,3,3
attack_nn_184_191_38_44,3,2
attack_nn_184_191_69_75,4,2
attack_nn_189_195_13_19,4,2
attack_nn_191_197_123_130,3,2
attack_nn_191_197_38_44,3,3
attack_nn_192_198_176_182,3,3
attack_nn_192_198_4_10,3,2
attack_nn_195_201_176_182,3,3
attack_nn_199_206_4_10,3,3
attack_nn_19_26_123_130,3,2
attack_nn_204_210_144_151,4,2
attack_nn_204_210_176_182,4,2
attack_nn_205_212_10_16,4,2
attack_nn_205_212_14_20,3,2
attack_nn_205_212_158_164,2,2
attack_nn_205_212_231_237,4,2
attack_nn_205_212_25_31,4,2
attack_nn_205_212_31_37,3,2
attack_nn_205_212_38_44,3,2
attack_nn_205_212_44_50,4,2
attack_nn_205_212_66_72,3,2
attack_nn_205_212_97_104,3,2
attack_nn_20_26_123_130,3,2
attack_nn_20_26_184_191,3,4
attack_nn_212_218_10_17,3,2
attack_nn_212_218_123_130,2,2
attack_nn_212_218_134_140,3,2
attack_nn_212_218_58_64,3,3
attack_nn_212_218_69_75,3,2
attack_nn_212_218_97_104,2,2
attack_nn_227_233_69_75,3,2
attack_nn_22_28_108_114,3,2
attack_nn_22_28_176_182,3,3
attack_nn_231_237_212_218,3,2
attack_nn_231_237_35_41,4,2
attack_nn_23_29_158_164,4,2
attack_nn_23_29_97_104,2,2
attack_nn_246_252_69_75,3,4
attack_nn_250_256_150_156,3,4
attack_nn_251_257_158_164,3,3
attack_nn_251_257_176_182,4,2
attack_nn_255_261_10_17,3,2
attack_nn_255_261_134_140,3,3
attack_nn_25_31_134_140,4,2
attack_nn_25_31_176_182,2,2
attack_nn_25_31_4_10,3,2
attack_nn_267_273_123_130,3,2
attack_nn_267_273_13_19,4,3
attack_nn_277_284_123_130,3,2
attack_nn_277_284_189_195,4,3
attack_nn_277_284_44_50,3,3
attack_nn_27_33_183_190,4,2
attack_nn_27_34_102_108,3,2
attack_nn_27_34_10_16,2,2
attack_nn_27_34_14_20,3,2
attack_nn_27_34_205_212,3,2
attack_nn_27_34_22_28,3,2
attack_nn_27_34_31_37,4,3
attack_nn_27_34_389_395,2,2
attack_nn_27_34_44_50,3,2
attack_nn_27_34_61_67,3,2
attack_nn_27_34_66_72,3,2
attack_nn_27_34_69_75,3,3
attack_nn_287_294_123_130,3,3
attack_nn_287_294_38_44,3,3
attack_nn_28_34_123_130,3,2
attack_nn_311_317_176_182,3,2
attack_nn_311_317_563_569,3,2
attack_nn_311_318_176_182,3,3
attack_nn_313_319_176_182,3,3
attack_nn_31_37_123_130,3,8
attack_nn_31_37_176_182,2,2
attack_nn_31_37_251_257,2,2
attack_nn_31_37_35_41,3,7
attack_nn_31_37_58_64,4,2
attack_nn_32_38_54_60,4,2
attack_nn_32_39_176_182,3,3
attack_nn_33_39_176_182,3,2
attack_nn_33_40_123_130,3,2
attack_nn_33_40_13_19,4,2
attack_nn_34_40_158_164,3,3
attack_nn_35_41_131_137,4,2
attack_nn_35_41_13_19,4,2
attack_nn_35_41_176_182,3,2
attack_nn_35_41_38_44,3,5
attack_nn_35_41_54_60,4,2
attack_nn_36_42_150_156,4,2
attack_nn_36_42_176_182,3,2
attack_nn_389_395_10_16,3,2
attack_nn_389_395_113_119,2,2
attack_nn_389_395_14_20,2,2
attack_nn_389_395_176_182,3,3
attack_nn_389_395_205_212,2,2
attack_nn_389_395_31_37,3,2
attack_nn_389_395_44_50,2,2
attack_nn_389_395_4_10,3,2
attack_nn_389_395_55_62,3,2
attack_nn_389_395_61_67,2,2
attack_nn_389_395_66_72,3,2
attack_nn_38_44_123_130,3,5
attack_nn_38_44_150_156,3,2
attack_nn_41_47_176_182,2,2
attack_nn_41_47_58_64,3,3
attack_nn_43_49_123_130,3,3
attack_nn_43_49_161_167,3,4
attack_nn_43_49_29_35,3,2
