annotation_lbl,category,num_distinct_lbls
attack_nn_102_108_134_140,4,1
attack_nn_103_109_176_182,2,1
attack_nn_103_109_66_72,4,1
attack_nn_103_109_73_79,4,1
attack_nn_103_110_150_156,2,1
attack_nn_103_110_25_31,4,1
attack_nn_103_110_31_37,4,1
attack_nn_103_110_44_50,2,1
attack_nn_103_110_99_106,1,1
attack_nn_104_110_246_252,2,1
attack_nn_104_110_38_44,0,1
attack_nn_105_111_11_17,2,1
attack_nn_105_111_61_67,1,1
attack_nn_107_113_10_16,3,1
attack_nn_107_113_113_119,3,1
attack_nn_107_113_131_137,2,1
attack_nn_107_113_22_28,3,1
attack_nn_107_113_4_10,3,1
attack_nn_107_113_56_62,2,1
attack_nn_107_113_60_66,4,1
attack_nn_108_114_176_182,4,1
attack_nn_108_114_389_395,2,1
attack_nn_108_114_99_106,2,1
attack_nn_108_115_4_10,2,1
attack_nn_108_115_4_11,2,1
attack_nn_109_115_103_110,3,1
attack_nn_109_115_10_17,3,1
attack_nn_109_115_113_119,2,1
attack_nn_109_115_144_151,2,1
attack_nn_109_115_31_37,4,1
attack_nn_109_115_36_42,2,1
attack_nn_109_115_85_92,2,1
attack_nn_10_16_103_110,2,1
attack_nn_10_16_123_130,3,1
attack_nn_10_16_124_131,4,1
attack_nn_10_16_158_164,4,1
attack_nn_10_16_44_50,3,1
attack_nn_10_16_97_104,2,1
attack_nn_10_17_103_110,2,1
attack_nn_10_17_10_16,0,1
attack_nn_10_17_227_233,0,1
attack_nn_10_17_81_88,2,1
attack_nn_113_119_107_113,3,1
attack_nn_113_119_10_16,2,1
attack_nn_113_119_166_172,4,1
attack_nn_113_119_563_569,2,1
attack_nn_113_119_62_68,2,1
attack_nn_113_119_81_88,4,1
attack_nn_118_124_176_182,2,1
attack_nn_118_125_13_19,4,1
attack_nn_118_125_43_49,0,1
attack_nn_118_125_59_65,0,1
attack_nn_11_17_55_61,4,1
attack_nn_121_128_103_110,2,1
attack_nn_121_128_33_39,4,1
attack_nn_122_128_13_19,2,1
attack_nn_122_128_97_103,2,1
attack_nn_123_130_10_16,2,1
attack_nn_123_130_15_21,2,1
attack_nn_123_130_45_52,4,1
attack_nn_123_130_4_10,3,1
attack_nn_123_130_53_60,4,1
attack_nn_123_130_56_62,3,1
attack_nn_123_130_9_15,3,1
attack_nn_124_131_123_130,3,1
attack_nn_125_131_123_130,3,1
attack_nn_125_131_126_132,4,1
attack_nn_125_131_15_21,4,1
attack_nn_125_131_161_167,4,1
attack_nn_126_132_123_130,3,1
attack_nn_126_132_95_101,2,1
attack_nn_130_136_108_114,2,1
attack_nn_130_136_49_55,2,1
attack_nn_130_136_54_60,4,1
attack_nn_131_137_281_287,3,1
attack_nn_131_137_563_569,2,1
attack_nn_131_137_66_72,4,1
attack_nn_131_137_75_82,3,1
attack_nn_134_140_107_113,2,1
attack_nn_134_140_113_119,2,1
attack_nn_134_140_311_317,2,1
attack_nn_134_140_97_104,3,1
attack_nn_137_143_125_131,4,1
attack_nn_137_143_161_167,4,1
attack_nn_13_19_184_191,3,1
attack_nn_13_19_33_39,4,1
attack_nn_13_19_4_10,3,1
attack_nn_13_19_58_64,3,1
attack_nn_13_19_81_88,2,1
attack_nn_13_20_311_317,4,1
attack_nn_13_20_31_37,2,1
attack_nn_13_20_54_60,4,1
attack_nn_141_147_176_182,2,1
attack_nn_141_147_99_106,4,1
attack_nn_141_148_135_141,4,1
attack_nn_141_148_21_27,4,1
attack_nn_141_148_31_37,2,1
attack_nn_141_148_51_57,3,1
attack_nn_144_150_146_152,2,1
attack_nn_144_150_4_10,4,1
attack_nn_144_151_61_67,2,1
attack_nn_144_151_71_78,2,1
attack_nn_146_152_107_113,2,1
attack_nn_146_152_123_130,4,1
attack_nn_147_153_154_161,0,1
attack_nn_147_153_311_317,4,1
attack_nn_148_154_103_109,4,1
attack_nn_148_154_123_130,3,1
attack_nn_14_20_181_187,2,1
attack_nn_14_21_205_212,2,1
attack_nn_14_21_563_569,4,1
attack_nn_150_156_103_110,2,1
attack_nn_150_156_131_137,3,1
attack_nn_154_160_158_164,4,1
attack_nn_154_160_27_34,3,1
attack_nn_154_160_71_77,2,1
